,Iteration_0,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19
0,0.72,0.71,0.77,0.7,0.7,0.69,0.72,0.7,0.72,0.72,0.73,0.73,0.71,0.73,0.69,0.7,0.68,0.7,0.71,0.72
1,0.74,0.73,0.78,0.73,0.75,0.71,0.73,0.73,0.72,0.74,0.74,0.73,0.74,0.74,0.73,0.76,0.73,0.77,0.75,0.72
2,0.75,0.73,0.79,0.73,0.75,0.73,0.76,0.76,0.74,0.74,0.75,0.75,0.77,0.76,0.76,0.76,0.73,0.77,0.75,0.72
3,0.77,0.73,0.79,0.76,0.75,0.75,0.76,0.76,0.74,0.78,0.75,0.75,0.78,0.76,0.76,0.76,0.74,0.77,0.75,0.73
4,0.77,0.77,0.79,0.76,0.77,0.76,0.76,0.76,0.77,0.78,0.79,0.78,0.78,0.78,0.76,0.76,0.76,0.77,0.75,0.73
5,0.77,0.77,0.79,0.76,0.77,0.76,0.76,0.76,0.77,0.78,0.79,0.78,0.78,0.78,0.76,0.77,0.78,0.77,0.75,0.75
6,0.77,0.77,0.79,0.76,0.79,0.76,0.76,0.76,0.77,0.78,0.82,0.78,0.78,0.78,0.76,0.77,0.78,0.78,0.75,0.78
7,0.77,0.77,0.8,0.77,0.8,0.76,0.76,0.77,0.77,0.78,0.82,0.78,0.78,0.78,0.76,0.77,0.78,0.78,0.75,0.78
8,0.77,0.77,0.8,0.77,0.8,0.81,0.76,0.77,0.77,0.78,0.82,0.78,0.78,0.78,0.76,0.77,0.78,0.78,0.77,0.78
9,0.8,0.77,0.82,0.77,0.8,0.81,0.76,0.77,0.77,0.78,0.82,0.8,0.78,0.78,0.76,0.77,0.78,0.78,0.79,0.78
10,0.82,0.77,0.82,0.79,0.8,0.81,0.8,0.77,0.77,0.78,0.83,0.81,0.78,0.78,0.76,0.77,0.78,0.78,0.79,0.78
11,0.82,0.77,0.82,0.79,0.8,0.81,0.8,0.79,0.77,0.8,0.83,0.81,0.78,0.78,0.77,0.79,0.78,0.78,0.79,0.78
12,0.82,0.77,0.82,0.8,0.8,0.81,0.8,0.79,0.77,0.8,0.83,0.81,0.78,0.78,0.79,0.79,0.78,0.8,0.82,0.78
13,0.82,0.77,0.82,0.81,0.8,0.81,0.8,0.79,0.77,0.8,0.83,0.81,0.78,0.78,0.81,0.79,0.78,0.81,0.82,0.78
14,0.82,0.77,0.82,0.81,0.8,0.81,0.8,0.79,0.77,0.8,0.83,0.81,0.78,0.78,0.81,0.79,0.78,0.81,0.82,0.78
15,0.82,0.77,0.82,0.81,0.8,0.81,0.8,0.79,0.77,0.8,0.83,0.81,0.78,0.78,0.81,0.82,0.78,0.81,0.82,0.78
16,0.82,0.77,0.82,0.81,0.8,0.81,0.8,0.8,0.77,0.8,0.83,0.81,0.8,0.78,0.81,0.82,0.78,0.81,0.82,0.78
17,0.82,0.77,0.82,0.81,0.8,0.81,0.8,0.8,0.77,0.8,0.83,0.81,0.8,0.78,0.81,0.82,0.78,0.81,0.82,0.78
18,0.82,0.77,0.82,0.81,0.8,0.81,0.8,0.8,0.77,0.8,0.83,0.81,0.8,0.78,0.81,0.82,0.78,0.81,0.82,0.78
19,0.82,0.77,0.82,0.81,0.8,0.81,0.8,0.8,0.77,0.8,0.83,0.81,0.8,0.78,0.83,0.82,0.81,0.81,0.82,0.78
20,0.82,0.77,0.82,0.81,0.8,0.81,0.8,0.8,0.77,0.8,0.83,0.81,0.8,0.78,0.83,0.82,0.81,0.81,0.82,0.78
21,0.82,0.77,0.82,0.81,0.8,0.81,0.8,0.8,0.77,0.8,0.83,0.81,0.8,0.78,0.83,0.82,0.81,0.81,0.82,0.78
22,0.83,0.77,0.82,0.81,0.8,0.81,0.8,0.8,0.77,0.8,0.83,0.81,0.81,0.78,0.83,0.82,0.81,0.81,0.82,0.78
23,0.83,0.77,0.82,0.81,0.8,0.81,0.8,0.8,0.77,0.8,0.83,0.81,0.85,0.81,0.83,0.82,0.81,0.81,0.82,0.78
24,0.83,0.77,0.82,0.81,0.8,0.82,0.81,0.8,0.77,0.8,0.83,0.81,0.85,0.81,0.83,0.82,0.81,0.81,0.82,0.78
25,0.83,0.77,0.82,0.81,0.8,0.82,0.81,0.8,0.77,0.8,0.83,0.81,0.85,0.81,0.83,0.82,0.81,0.81,0.82,0.78
26,0.83,0.77,0.82,0.81,0.8,0.82,0.81,0.8,0.77,0.8,0.83,0.81,0.85,0.81,0.83,0.82,0.81,0.81,0.82,0.78
27,0.84,0.77,0.82,0.81,0.8,0.82,0.81,0.8,0.77,0.8,0.83,0.81,0.85,0.81,0.83,0.82,0.81,0.81,0.82,0.78
28,0.84,0.77,0.82,0.81,0.8,0.82,0.81,0.8,0.77,0.8,0.83,0.81,0.85,0.81,0.83,0.82,0.81,0.81,0.82,0.78
29,0.84,0.77,0.82,0.81,0.8,0.82,0.81,0.8,0.77,0.8,0.83,0.81,0.85,0.81,0.83,0.82,0.81,0.81,0.82,0.78
