,Iteration_0,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19
0,0.67,0.68,0.7,0.69,0.68,0.68,0.7,0.71,0.7,0.72,0.67,0.7,0.66,0.67,0.69,0.72,0.7,0.7,0.71,0.7
1,0.7,0.68,0.7,0.69,0.68,0.68,0.7,0.72,0.7,0.72,0.69,0.7,0.7,0.69,0.69,0.72,0.7,0.7,0.75,0.73
2,0.7,0.68,0.7,0.69,0.68,0.7,0.7,0.72,0.7,0.72,0.69,0.7,0.7,0.71,0.69,0.72,0.7,0.7,0.75,0.73
3,0.7,0.7,0.71,0.69,0.7,0.72,0.7,0.72,0.7,0.72,0.72,0.7,0.7,0.71,0.69,0.72,0.7,0.7,0.75,0.73
4,0.7,0.74,0.71,0.7,0.7,0.72,0.7,0.72,0.71,0.72,0.72,0.7,0.7,0.72,0.7,0.72,0.7,0.7,0.75,0.73
5,0.7,0.74,0.71,0.7,0.7,0.72,0.7,0.72,0.71,0.72,0.72,0.7,0.7,0.72,0.7,0.72,0.7,0.7,0.75,0.75
6,0.71,0.74,0.71,0.71,0.7,0.74,0.7,0.72,0.71,0.72,0.72,0.7,0.7,0.72,0.7,0.72,0.7,0.72,0.75,0.75
7,0.71,0.74,0.71,0.71,0.7,0.74,0.7,0.72,0.71,0.72,0.72,0.7,0.7,0.72,0.71,0.72,0.7,0.72,0.75,0.75
8,0.71,0.74,0.71,0.71,0.7,0.74,0.7,0.72,0.71,0.72,0.72,0.7,0.7,0.72,0.71,0.72,0.71,0.72,0.75,0.75
9,0.75,0.74,0.71,0.71,0.7,0.74,0.7,0.72,0.71,0.72,0.72,0.7,0.7,0.72,0.71,0.73,0.71,0.73,0.75,0.75
10,0.75,0.74,0.71,0.71,0.72,0.75,0.7,0.72,0.71,0.72,0.72,0.7,0.7,0.72,0.71,0.73,0.71,0.73,0.75,0.75
11,0.75,0.74,0.71,0.71,0.72,0.75,0.7,0.72,0.71,0.72,0.72,0.7,0.7,0.72,0.71,0.73,0.71,0.73,0.75,0.75
12,0.75,0.74,0.71,0.71,0.72,0.75,0.7,0.72,0.71,0.72,0.72,0.7,0.7,0.72,0.72,0.73,0.71,0.73,0.75,0.75
13,0.75,0.74,0.71,0.71,0.72,0.75,0.7,0.72,0.71,0.72,0.72,0.7,0.7,0.72,0.72,0.73,0.71,0.73,0.75,0.75
14,0.75,0.74,0.71,0.71,0.72,0.75,0.7,0.72,0.71,0.72,0.72,0.7,0.7,0.72,0.72,0.73,0.71,0.73,0.75,0.75
15,0.75,0.74,0.71,0.71,0.72,0.75,0.7,0.72,0.71,0.72,0.72,0.7,0.7,0.72,0.72,0.73,0.71,0.73,0.75,0.75
16,0.75,0.74,0.72,0.71,0.72,0.75,0.7,0.72,0.71,0.72,0.72,0.7,0.7,0.72,0.72,0.73,0.71,0.73,0.75,0.75
17,0.75,0.74,0.72,0.71,0.72,0.75,0.7,0.72,0.71,0.74,0.72,0.7,0.7,0.73,0.72,0.73,0.72,0.73,0.75,0.75
18,0.75,0.74,0.72,0.71,0.72,0.75,0.7,0.72,0.71,0.74,0.72,0.7,0.77,0.74,0.72,0.73,0.72,0.73,0.75,0.75
19,0.75,0.74,0.72,0.71,0.72,0.75,0.7,0.72,0.71,0.74,0.72,0.7,0.77,0.74,0.72,0.73,0.72,0.73,0.75,0.75
20,0.75,0.74,0.72,0.71,0.72,0.75,0.7,0.72,0.71,0.74,0.72,0.71,0.77,0.74,0.72,0.73,0.72,0.73,0.75,0.75
21,0.75,0.74,0.72,0.72,0.72,0.76,0.7,0.72,0.71,0.74,0.72,0.71,0.77,0.74,0.72,0.73,0.72,0.73,0.75,0.75
22,0.75,0.74,0.72,0.72,0.72,0.76,0.72,0.72,0.72,0.74,0.72,0.71,0.77,0.74,0.72,0.73,0.72,0.73,0.75,0.75
23,0.75,0.74,0.72,0.72,0.72,0.76,0.72,0.72,0.72,0.74,0.72,0.71,0.77,0.74,0.72,0.73,0.72,0.73,0.75,0.75
24,0.75,0.74,0.72,0.72,0.72,0.76,0.72,0.72,0.72,0.74,0.72,0.71,0.77,0.74,0.72,0.73,0.72,0.73,0.75,0.75
25,0.75,0.74,0.72,0.72,0.72,0.76,0.72,0.72,0.72,0.74,0.72,0.71,0.77,0.74,0.72,0.73,0.72,0.73,0.75,0.75
26,0.75,0.74,0.72,0.72,0.72,0.76,0.72,0.72,0.72,0.74,0.72,0.73,0.77,0.74,0.73,0.73,0.72,0.73,0.75,0.75
