,Iteration_0,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19
0,0.69,0.71,0.7,0.72,0.68,0.68,0.67,0.69,0.67,0.7,0.71,0.67,0.67,0.68,0.7,0.72,0.67,0.68,0.73,0.68
1,0.69,0.71,0.7,0.72,0.68,0.68,0.67,0.69,0.67,0.7,0.71,0.67,0.67,0.68,0.7,0.72,0.74,0.74,0.73,0.68
2,0.69,0.71,0.7,0.72,0.68,0.68,0.67,0.69,0.67,0.7,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
3,0.69,0.71,0.7,0.72,0.68,0.68,0.67,0.69,0.67,0.7,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
4,0.69,0.71,0.7,0.72,0.68,0.68,0.67,0.69,0.67,0.7,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
5,0.69,0.71,0.7,0.72,0.68,0.68,0.67,0.69,0.67,0.7,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
6,0.69,0.71,0.7,0.72,0.68,0.68,0.67,0.69,0.67,0.7,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
7,0.69,0.71,0.7,0.72,0.68,0.68,0.67,0.69,0.67,0.7,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
8,0.69,0.71,0.7,0.72,0.68,0.68,0.67,0.69,0.67,0.7,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
9,0.69,0.71,0.7,0.72,0.7,0.68,0.67,0.69,0.67,0.7,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
10,0.69,0.71,0.7,0.72,0.7,0.68,0.67,0.69,0.67,0.7,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
11,0.69,0.71,0.7,0.72,0.7,0.68,0.67,0.69,0.67,0.7,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
12,0.69,0.71,0.7,0.72,0.7,0.68,0.67,0.69,0.67,0.7,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
13,0.69,0.71,0.7,0.72,0.7,0.68,0.67,0.69,0.67,0.7,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
14,0.69,0.71,0.7,0.72,0.73,0.68,0.67,0.69,0.67,0.7,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
15,0.69,0.71,0.7,0.72,0.73,0.68,0.67,0.69,0.67,0.7,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
16,0.7,0.71,0.7,0.72,0.73,0.68,0.67,0.69,0.67,0.71,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
17,0.7,0.71,0.7,0.72,0.73,0.68,0.67,0.69,0.67,0.73,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
18,0.7,0.71,0.7,0.72,0.73,0.68,0.67,0.69,0.67,0.73,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
19,0.7,0.71,0.7,0.72,0.73,0.68,0.67,0.69,0.67,0.73,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
20,0.7,0.71,0.7,0.72,0.73,0.68,0.67,0.69,0.67,0.73,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
21,0.7,0.71,0.7,0.72,0.73,0.68,0.67,0.69,0.67,0.73,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
22,0.7,0.71,0.7,0.72,0.73,0.68,0.67,0.69,0.67,0.73,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
23,0.7,0.71,0.7,0.72,0.73,0.68,0.67,0.69,0.67,0.73,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
24,0.7,0.71,0.7,0.72,0.73,0.68,0.67,0.69,0.67,0.73,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
25,0.7,0.71,0.7,0.72,0.73,0.68,0.67,0.69,0.67,0.73,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
26,0.7,0.71,0.7,0.72,0.73,0.68,0.67,0.69,0.67,0.73,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
27,0.7,0.71,0.7,0.72,0.73,0.68,0.67,0.69,0.67,0.73,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
28,0.7,0.71,0.7,0.72,0.73,0.68,0.67,0.69,0.67,0.73,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
29,0.7,0.71,0.7,0.72,0.73,0.68,0.67,0.69,0.67,0.73,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
30,0.7,0.71,0.7,0.72,0.73,0.68,0.67,0.69,0.67,0.73,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
31,0.7,0.71,0.7,0.72,0.73,0.68,0.67,0.69,0.67,0.73,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
32,0.7,0.71,0.7,0.72,0.73,0.68,0.67,0.69,0.67,0.73,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
33,0.7,0.71,0.7,0.72,0.73,0.68,0.67,0.69,0.67,0.73,0.71,0.67,0.69,0.68,0.7,0.72,0.74,0.74,0.73,0.68
