,Iteration_0,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19
0,0.69,0.67,0.7,0.67,0.71,0.67,0.67,0.67,0.7,0.67,0.68,0.68,0.71,0.71,0.71,0.67,0.68,0.69,0.7,0.72
1,0.69,0.67,0.7,0.67,0.71,0.67,0.68,0.67,0.7,0.67,0.68,0.68,0.71,0.71,0.73,0.69,0.68,0.69,0.74,0.72
2,0.69,0.67,0.7,0.67,0.71,0.67,0.68,0.67,0.7,0.67,0.68,0.68,0.71,0.71,0.73,0.69,0.68,0.71,0.74,0.72
3,0.69,0.67,0.7,0.67,0.71,0.67,0.68,0.67,0.7,0.67,0.68,0.68,0.71,0.71,0.73,0.69,0.68,0.71,0.74,0.72
4,0.69,0.67,0.7,0.67,0.71,0.67,0.68,0.67,0.7,0.67,0.68,0.73,0.71,0.71,0.73,0.69,0.68,0.71,0.74,0.72
5,0.69,0.67,0.7,0.67,0.71,0.67,0.68,0.67,0.7,0.67,0.68,0.73,0.71,0.71,0.73,0.69,0.68,0.71,0.74,0.72
6,0.69,0.67,0.7,0.67,0.71,0.67,0.68,0.67,0.7,0.67,0.68,0.73,0.71,0.71,0.73,0.69,0.68,0.71,0.74,0.72
7,0.69,0.67,0.7,0.67,0.71,0.67,0.68,0.67,0.7,0.67,0.68,0.73,0.71,0.71,0.73,0.69,0.68,0.71,0.74,0.72
8,0.69,0.67,0.7,0.67,0.71,0.67,0.68,0.67,0.7,0.67,0.68,0.73,0.71,0.71,0.73,0.69,0.68,0.71,0.74,0.72
9,0.69,0.67,0.7,0.67,0.71,0.67,0.68,0.67,0.7,0.67,0.68,0.73,0.71,0.71,0.73,0.69,0.68,0.76,0.74,0.72
10,0.69,0.67,0.7,0.67,0.71,0.67,0.68,0.67,0.7,0.67,0.68,0.73,0.71,0.71,0.73,0.69,0.68,0.76,0.74,0.72
11,0.69,0.67,0.7,0.67,0.71,0.67,0.68,0.67,0.7,0.67,0.68,0.73,0.71,0.71,0.73,0.69,0.68,0.76,0.74,0.72
12,0.69,0.67,0.7,0.67,0.71,0.67,0.68,0.67,0.7,0.67,0.68,0.73,0.71,0.71,0.73,0.69,0.68,0.76,0.74,0.72
