,Iteration_0,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19
0,0.68,0.72,0.72,0.7,0.69,0.67,0.71,0.69,0.69,0.69,0.71,0.67,0.7,0.69,0.73,0.7,0.71,0.69,0.73,0.69
1,0.68,0.72,0.75,0.7,0.73,0.67,0.71,0.69,0.69,0.7,0.71,0.67,0.7,0.69,0.73,0.71,0.71,0.69,0.73,0.69
2,0.7,0.72,0.75,0.7,0.73,0.67,0.72,0.7,0.69,0.7,0.71,0.67,0.7,0.69,0.73,0.71,0.71,0.69,0.73,0.69
3,0.73,0.72,0.75,0.7,0.73,0.67,0.72,0.71,0.69,0.7,0.71,0.68,0.7,0.69,0.74,0.71,0.77,0.69,0.73,0.7
4,0.73,0.72,0.75,0.71,0.73,0.67,0.72,0.71,0.71,0.72,0.71,0.69,0.72,0.74,0.74,0.73,0.77,0.74,0.73,0.71
5,0.73,0.72,0.75,0.73,0.73,0.7,0.73,0.71,0.71,0.72,0.71,0.69,0.72,0.74,0.74,0.73,0.77,0.74,0.73,0.71
6,0.73,0.76,0.75,0.74,0.73,0.7,0.73,0.71,0.71,0.72,0.71,0.69,0.72,0.74,0.74,0.73,0.77,0.74,0.73,0.71
7,0.73,0.76,0.75,0.75,0.73,0.7,0.73,0.71,0.71,0.73,0.71,0.69,0.72,0.74,0.76,0.73,0.77,0.74,0.76,0.71
8,0.73,0.82,0.75,0.76,0.73,0.73,0.73,0.74,0.75,0.73,0.71,0.73,0.72,0.74,0.76,0.73,0.77,0.74,0.76,0.71
9,0.73,0.82,0.75,0.76,0.73,0.73,0.73,0.74,0.75,0.74,0.71,0.74,0.72,0.74,0.76,0.73,0.77,0.74,0.76,0.71
10,0.73,0.82,0.75,0.76,0.73,0.73,0.73,0.74,0.75,0.74,0.71,0.74,0.72,0.75,0.76,0.73,0.77,0.74,0.76,0.71
11,0.74,0.82,0.75,0.78,0.73,0.76,0.73,0.74,0.75,0.74,0.71,0.74,0.72,0.75,0.76,0.73,0.77,0.74,0.76,0.71
12,0.74,0.82,0.75,0.78,0.73,0.8,0.76,0.74,0.75,0.74,0.71,0.76,0.72,0.75,0.76,0.75,0.77,0.76,0.76,0.71
13,0.74,0.82,0.75,0.78,0.73,0.8,0.76,0.74,0.75,0.74,0.71,0.76,0.72,0.75,0.76,0.75,0.77,0.76,0.76,0.71
14,0.74,0.82,0.75,0.78,0.73,0.8,0.76,0.77,0.75,0.74,0.72,0.76,0.72,0.75,0.77,0.75,0.77,0.76,0.76,0.72
15,0.74,0.82,0.77,0.78,0.73,0.8,0.76,0.77,0.75,0.76,0.72,0.76,0.72,0.75,0.77,0.75,0.77,0.76,0.76,0.72
16,0.74,0.82,0.79,0.78,0.73,0.8,0.76,0.77,0.75,0.76,0.72,0.76,0.72,0.75,0.77,0.75,0.77,0.76,0.76,0.72
17,0.74,0.82,0.79,0.78,0.77,0.8,0.76,0.77,0.75,0.76,0.72,0.76,0.73,0.75,0.78,0.75,0.77,0.76,0.76,0.72
18,0.74,0.82,0.79,0.78,0.77,0.8,0.76,0.77,0.75,0.76,0.72,0.76,0.73,0.75,0.78,0.75,0.77,0.76,0.76,0.72
19,0.74,0.82,0.79,0.78,0.77,0.8,0.76,0.77,0.75,0.76,0.72,0.76,0.73,0.75,0.78,0.75,0.77,0.76,0.76,0.72
20,0.74,0.82,0.79,0.78,0.77,0.8,0.76,0.77,0.75,0.76,0.72,0.76,0.73,0.75,0.79,0.79,0.77,0.76,0.76,0.73
21,0.74,0.82,0.79,0.78,0.77,0.8,0.76,0.77,0.75,0.76,0.72,0.76,0.73,0.75,0.79,0.79,0.77,0.78,0.76,0.73
22,0.74,0.82,0.79,0.79,0.77,0.8,0.76,0.77,0.75,0.76,0.72,0.76,0.75,0.75,0.79,0.79,0.77,0.78,0.76,0.73
23,0.74,0.82,0.79,0.79,0.77,0.8,0.76,0.77,0.75,0.76,0.74,0.76,0.75,0.75,0.79,0.79,0.78,0.78,0.76,0.73
24,0.74,0.82,0.79,0.8,0.77,0.8,0.76,0.77,0.75,0.76,0.74,0.76,0.75,0.75,0.79,0.8,0.78,0.78,0.76,0.73
25,0.74,0.82,0.79,0.8,0.77,0.8,0.76,0.77,0.75,0.76,0.74,0.77,0.75,0.75,0.79,0.8,0.78,0.78,0.76,0.73
26,0.75,0.82,0.79,0.8,0.77,0.83,0.76,0.77,0.75,0.76,0.74,0.78,0.75,0.75,0.79,0.8,0.78,0.78,0.76,0.73
27,0.75,0.82,0.79,0.8,0.77,0.83,0.76,0.77,0.75,0.76,0.74,0.78,0.75,0.75,0.79,0.8,0.78,0.78,0.76,0.73
28,0.75,0.82,0.79,0.8,0.77,0.83,0.76,0.78,0.76,0.76,0.74,0.78,0.75,0.75,0.79,0.8,0.78,0.78,0.76,0.73
29,0.75,0.82,0.79,0.8,0.77,0.83,0.76,0.78,0.76,0.78,0.74,0.78,0.78,0.75,0.79,0.8,0.78,0.78,0.76,0.73
30,0.75,0.82,0.79,0.8,0.77,0.83,0.76,0.78,0.76,0.78,0.74,0.78,0.78,0.77,0.79,0.8,0.78,0.78,0.76,0.73
31,0.75,0.82,0.79,0.8,0.77,0.83,0.76,0.78,0.76,0.78,0.74,0.78,0.78,0.77,0.79,0.8,0.78,0.78,0.76,0.73
32,0.75,0.82,0.79,0.8,0.77,0.83,0.76,0.78,0.76,0.78,0.74,0.78,0.78,0.77,0.79,0.8,0.78,0.78,0.77,0.73
33,0.75,0.82,0.79,0.8,0.77,0.83,0.76,0.78,0.76,0.78,0.74,0.78,0.78,0.77,0.79,0.8,0.78,0.78,0.77,0.73
34,0.77,0.82,0.79,0.8,0.77,0.83,0.76,0.78,0.76,0.78,0.74,0.78,0.78,0.77,0.79,0.8,0.78,0.78,0.77,0.73
35,0.77,0.82,0.79,0.8,0.77,0.83,0.76,0.78,0.76,0.78,0.74,0.78,0.78,0.77,0.79,0.8,0.78,0.78,0.77,0.73
36,0.77,0.82,0.79,0.8,0.77,0.83,0.76,0.78,0.76,0.78,0.74,0.78,0.78,0.77,0.79,0.8,0.78,0.78,0.77,0.73
37,0.77,0.82,0.79,0.8,0.77,0.83,0.76,0.78,0.76,0.78,0.74,0.79,0.78,0.77,0.79,0.8,0.78,0.78,0.77,0.73
38,0.77,0.82,0.8,0.8,0.77,0.83,0.76,0.78,0.76,0.78,0.74,0.79,0.78,0.77,0.79,0.8,0.78,0.78,0.77,0.73
39,0.77,0.82,0.8,0.8,0.77,0.83,0.76,0.78,0.76,0.78,0.74,0.79,0.78,0.77,0.79,0.8,0.78,0.78,0.77,0.75
40,0.77,0.82,0.8,0.8,0.77,0.83,0.76,0.78,0.76,0.78,0.74,0.79,0.78,0.77,0.79,0.8,0.78,0.78,0.77,0.75
