,Iteration_0,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19
0,0.69,0.72,0.7,0.72,0.72,0.69,0.75,0.73,0.68,0.74,0.72,0.7,0.72,0.72,0.67,0.68,0.68,0.69,0.69,0.69
1,0.69,0.74,0.7,0.72,0.72,0.69,0.75,0.73,0.69,0.74,0.72,0.71,0.72,0.72,0.68,0.68,0.73,0.71,0.74,0.69
2,0.71,0.74,0.7,0.72,0.72,0.69,0.75,0.73,0.73,0.74,0.72,0.71,0.72,0.72,0.68,0.68,0.75,0.71,0.74,0.69
3,0.71,0.79,0.7,0.72,0.72,0.75,0.75,0.73,0.73,0.74,0.72,0.71,0.72,0.72,0.75,0.68,0.75,0.71,0.74,0.69
4,0.72,0.79,0.7,0.73,0.73,0.75,0.75,0.75,0.74,0.74,0.72,0.71,0.72,0.72,0.75,0.68,0.75,0.71,0.74,0.69
5,0.75,0.79,0.7,0.73,0.73,0.75,0.75,0.75,0.74,0.74,0.72,0.72,0.72,0.72,0.75,0.71,0.75,0.71,0.74,0.69
6,0.75,0.79,0.72,0.73,0.73,0.75,0.75,0.75,0.74,0.74,0.72,0.72,0.72,0.72,0.75,0.71,0.75,0.73,0.74,0.71
7,0.75,0.79,0.73,0.73,0.73,0.75,0.75,0.75,0.74,0.74,0.72,0.76,0.72,0.72,0.75,0.71,0.75,0.73,0.74,0.73
8,0.75,0.79,0.73,0.73,0.73,0.75,0.75,0.75,0.74,0.74,0.72,0.76,0.72,0.72,0.76,0.71,0.75,0.73,0.74,0.73
9,0.75,0.79,0.73,0.73,0.74,0.75,0.75,0.75,0.74,0.74,0.72,0.76,0.72,0.72,0.76,0.71,0.75,0.73,0.74,0.73
10,0.75,0.79,0.73,0.73,0.74,0.75,0.75,0.75,0.74,0.74,0.72,0.76,0.72,0.72,0.76,0.72,0.75,0.73,0.74,0.73
11,0.75,0.79,0.73,0.73,0.74,0.75,0.75,0.75,0.74,0.74,0.72,0.76,0.72,0.72,0.76,0.72,0.75,0.73,0.74,0.73
12,0.75,0.79,0.74,0.74,0.74,0.75,0.75,0.75,0.74,0.74,0.72,0.76,0.72,0.72,0.76,0.72,0.75,0.73,0.74,0.73
13,0.75,0.79,0.74,0.74,0.74,0.75,0.75,0.75,0.74,0.74,0.72,0.76,0.72,0.72,0.76,0.72,0.75,0.73,0.74,0.73
14,0.75,0.79,0.74,0.74,0.74,0.75,0.75,0.75,0.74,0.74,0.72,0.76,0.72,0.73,0.76,0.72,0.75,0.73,0.74,0.74
15,0.75,0.79,0.78,0.74,0.74,0.75,0.75,0.75,0.74,0.74,0.72,0.76,0.72,0.73,0.77,0.72,0.75,0.73,0.74,0.74
