,Iteration_0,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19
0,0.72,0.67,0.72,0.69,0.69,0.69,0.69,0.67,0.7,0.7,0.7,0.69,0.73,0.68,0.68,0.74,0.74,0.7,0.75,0.74
1,0.72,0.67,0.72,0.69,0.72,0.69,0.69,0.71,0.71,0.7,0.71,0.71,0.73,0.68,0.68,0.74,0.74,0.7,0.75,0.74
2,0.72,0.67,0.72,0.69,0.72,0.69,0.71,0.71,0.71,0.7,0.75,0.71,0.73,0.68,0.69,0.74,0.74,0.71,0.75,0.74
3,0.72,0.79,0.72,0.69,0.72,0.7,0.71,0.71,0.71,0.7,0.75,0.73,0.73,0.7,0.69,0.74,0.74,0.74,0.75,0.74
4,0.74,0.79,0.72,0.7,0.73,0.71,0.72,0.72,0.71,0.71,0.75,0.73,0.73,0.7,0.71,0.74,0.74,0.74,0.75,0.74
5,0.74,0.79,0.72,0.75,0.73,0.71,0.72,0.72,0.71,0.71,0.75,0.73,0.75,0.71,0.71,0.74,0.74,0.74,0.75,0.74
6,0.74,0.79,0.72,0.75,0.73,0.71,0.72,0.73,0.71,0.71,0.79,0.73,0.75,0.71,0.75,0.74,0.74,0.74,0.75,0.74
7,0.74,0.79,0.72,0.75,0.73,0.71,0.73,0.73,0.72,0.71,0.79,0.73,0.75,0.71,0.76,0.74,0.74,0.74,0.75,0.74
8,0.74,0.79,0.72,0.75,0.73,0.71,0.73,0.73,0.75,0.71,0.79,0.73,0.75,0.71,0.76,0.74,0.74,0.74,0.75,0.74
9,0.74,0.79,0.72,0.75,0.73,0.73,0.73,0.73,0.75,0.71,0.79,0.73,0.75,0.71,0.76,0.74,0.75,0.78,0.75,0.74
10,0.74,0.79,0.72,0.75,0.75,0.73,0.73,0.73,0.75,0.71,0.79,0.73,0.75,0.71,0.76,0.74,0.75,0.78,0.75,0.74
11,0.74,0.79,0.72,0.75,0.75,0.73,0.74,0.74,0.75,0.73,0.79,0.73,0.75,0.71,0.76,0.77,0.75,0.78,0.75,0.74
12,0.76,0.79,0.74,0.75,0.75,0.73,0.74,0.74,0.75,0.73,0.79,0.73,0.75,0.71,0.76,0.77,0.75,0.78,0.75,0.74
13,0.76,0.79,0.74,0.75,0.75,0.73,0.74,0.74,0.75,0.73,0.79,0.73,0.75,0.74,0.78,0.77,0.75,0.78,0.75,0.74
14,0.76,0.79,0.74,0.75,0.75,0.73,0.75,0.74,0.75,0.73,0.79,0.74,0.75,0.74,0.78,0.77,0.75,0.78,0.75,0.74
15,0.76,0.79,0.74,0.78,0.75,0.73,0.75,0.74,0.75,0.75,0.79,0.74,0.75,0.76,0.78,0.77,0.75,0.78,0.75,0.74
16,0.76,0.79,0.74,0.78,0.75,0.73,0.75,0.74,0.75,0.75,0.79,0.74,0.75,0.76,0.78,0.77,0.75,0.78,0.75,0.74
17,0.76,0.79,0.74,0.78,0.75,0.73,0.75,0.76,0.76,0.75,0.79,0.74,0.78,0.76,0.78,0.77,0.77,0.78,0.75,0.74
18,0.79,0.79,0.74,0.78,0.75,0.74,0.75,0.76,0.76,0.75,0.79,0.74,0.78,0.76,0.78,0.77,0.77,0.78,0.75,0.74
19,0.79,0.79,0.74,0.78,0.75,0.74,0.75,0.76,0.8,0.75,0.79,0.74,0.78,0.76,0.78,0.77,0.77,0.78,0.75,0.74
