,Iteration_0,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19
0,0.67,0.73,0.7,0.71,0.75,0.7,0.69,0.67,0.75,0.73,0.67,0.68,0.75,0.7,0.73,0.73,0.7,0.68,0.71,0.73
1,0.68,0.73,0.73,0.71,0.75,0.7,0.7,0.69,0.75,0.77,0.68,0.7,0.75,0.7,0.73,0.73,0.7,0.7,0.71,0.73
2,0.7,0.73,0.73,0.72,0.75,0.7,0.7,0.7,0.75,0.77,0.7,0.7,0.75,0.7,0.73,0.73,0.7,0.7,0.71,0.73
3,0.7,0.73,0.73,0.72,0.75,0.73,0.7,0.71,0.75,0.77,0.7,0.72,0.75,0.7,0.73,0.73,0.7,0.7,0.71,0.73
4,0.7,0.73,0.73,0.72,0.75,0.76,0.7,0.71,0.75,0.77,0.7,0.72,0.75,0.7,0.73,0.73,0.7,0.7,0.72,0.73
5,0.7,0.73,0.73,0.72,0.75,0.76,0.7,0.71,0.75,0.77,0.7,0.72,0.75,0.71,0.73,0.73,0.7,0.7,0.72,0.73
6,0.7,0.73,0.76,0.72,0.75,0.76,0.7,0.71,0.75,0.77,0.7,0.72,0.75,0.72,0.73,0.73,0.7,0.72,0.72,0.73
7,0.7,0.73,0.76,0.72,0.75,0.76,0.7,0.71,0.75,0.77,0.71,0.73,0.75,0.72,0.73,0.73,0.7,0.72,0.72,0.73
8,0.7,0.73,0.76,0.72,0.75,0.76,0.7,0.71,0.75,0.77,0.71,0.73,0.75,0.73,0.73,0.73,0.7,0.72,0.72,0.73
9,0.7,0.73,0.76,0.74,0.75,0.76,0.73,0.71,0.75,0.77,0.71,0.73,0.75,0.73,0.73,0.73,0.71,0.72,0.72,0.73
