,Iteration_0,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19
0,0.69,0.7,0.71,0.67,0.74,0.7,0.69,0.69,0.73,0.69,0.67,0.67,0.68,0.69,0.7,0.71,0.68,0.67,0.68,0.67
1,0.69,0.7,0.71,0.67,0.74,0.7,0.69,0.7,0.73,0.69,0.67,0.67,0.68,0.69,0.7,0.71,0.68,0.69,0.68,0.67
2,0.69,0.7,0.71,0.67,0.74,0.7,0.69,0.7,0.73,0.69,0.67,0.67,0.68,0.69,0.7,0.71,0.68,0.69,0.68,0.67
3,0.69,0.7,0.71,0.67,0.74,0.7,0.69,0.7,0.73,0.69,0.67,0.67,0.68,0.69,0.7,0.71,0.68,0.69,0.68,0.67
4,0.69,0.7,0.71,0.67,0.74,0.7,0.69,0.7,0.73,0.69,0.67,0.67,0.68,0.69,0.7,0.71,0.68,0.69,0.68,0.67
5,0.69,0.7,0.71,0.67,0.74,0.7,0.69,0.72,0.73,0.69,0.67,0.67,0.68,0.69,0.7,0.71,0.68,0.69,0.69,0.67
6,0.69,0.7,0.71,0.67,0.74,0.7,0.69,0.72,0.73,0.69,0.67,0.67,0.68,0.69,0.7,0.71,0.68,0.69,0.69,0.67
7,0.69,0.7,0.71,0.67,0.74,0.7,0.69,0.72,0.73,0.7,0.67,0.67,0.68,0.69,0.7,0.71,0.68,0.69,0.69,0.67
8,0.69,0.7,0.71,0.67,0.74,0.7,0.69,0.72,0.73,0.7,0.67,0.67,0.68,0.69,0.7,0.71,0.68,0.69,0.69,0.67
9,0.69,0.7,0.71,0.67,0.74,0.7,0.69,0.72,0.73,0.7,0.67,0.67,0.68,0.69,0.7,0.71,0.68,0.69,0.69,0.67
10,0.69,0.7,0.71,0.67,0.74,0.7,0.69,0.72,0.73,0.7,0.67,0.67,0.68,0.69,0.7,0.71,0.68,0.69,0.69,0.67
11,0.69,0.7,0.71,0.67,0.74,0.7,0.69,0.72,0.73,0.7,0.67,0.67,0.68,0.69,0.7,0.71,0.68,0.69,0.69,0.67
12,0.69,0.7,0.71,0.67,0.74,0.7,0.69,0.76,0.73,0.7,0.67,0.69,0.68,0.69,0.7,0.71,0.68,0.69,0.69,0.67
13,0.69,0.7,0.71,0.67,0.74,0.7,0.72,0.76,0.73,0.7,0.67,0.69,0.68,0.69,0.7,0.71,0.68,0.69,0.69,0.67
14,0.69,0.7,0.71,0.67,0.74,0.7,0.72,0.76,0.73,0.7,0.67,0.69,0.68,0.69,0.7,0.71,0.68,0.69,0.69,0.67
15,0.69,0.7,0.71,0.67,0.74,0.7,0.72,0.76,0.73,0.7,0.67,0.69,0.68,0.69,0.7,0.71,0.68,0.69,0.69,0.67
16,0.69,0.7,0.71,0.67,0.74,0.7,0.72,0.76,0.73,0.7,0.67,0.69,0.68,0.69,0.7,0.71,0.68,0.69,0.69,0.67
17,0.69,0.7,0.71,0.67,0.74,0.7,0.72,0.76,0.73,0.7,0.67,0.69,0.68,0.69,0.7,0.71,0.68,0.69,0.69,0.67
18,0.69,0.7,0.71,0.67,0.74,0.7,0.72,0.76,0.73,0.7,0.67,0.69,0.68,0.69,0.7,0.71,0.68,0.69,0.69,0.67
19,0.69,0.7,0.71,0.67,0.74,0.7,0.72,0.76,0.73,0.7,0.67,0.69,0.68,0.69,0.7,0.71,0.68,0.69,0.69,0.67
20,0.69,0.7,0.71,0.67,0.74,0.7,0.72,0.76,0.73,0.7,0.67,0.69,0.68,0.69,0.7,0.71,0.68,0.69,0.69,0.67
21,0.69,0.7,0.71,0.67,0.74,0.7,0.74,0.76,0.73,0.7,0.67,0.69,0.68,0.69,0.7,0.71,0.68,0.69,0.69,0.67
22,0.69,0.7,0.71,0.67,0.74,0.7,0.74,0.76,0.73,0.7,0.67,0.69,0.68,0.69,0.7,0.71,0.68,0.69,0.69,0.67
23,0.69,0.7,0.71,0.67,0.74,0.7,0.74,0.76,0.73,0.7,0.67,0.69,0.68,0.69,0.7,0.71,0.68,0.69,0.69,0.67
24,0.69,0.7,0.71,0.67,0.74,0.7,0.74,0.76,0.73,0.7,0.67,0.69,0.68,0.69,0.7,0.71,0.68,0.69,0.69,0.67
25,0.69,0.7,0.71,0.67,0.74,0.7,0.74,0.76,0.73,0.7,0.67,0.69,0.68,0.69,0.7,0.71,0.68,0.69,0.69,0.67
26,0.69,0.7,0.71,0.67,0.74,0.7,0.74,0.76,0.73,0.7,0.67,0.69,0.77,0.69,0.7,0.71,0.68,0.69,0.69,0.67
27,0.69,0.7,0.71,0.67,0.74,0.7,0.74,0.76,0.73,0.7,0.67,0.69,0.77,0.69,0.7,0.71,0.68,0.69,0.69,0.67
