,Iteration_0,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19
0,0.7,0.71,0.73,0.71,0.68,0.73,0.7,0.67,0.7,0.71,0.71,0.75,0.71,0.7,0.69,0.7,0.7,0.68,0.68,0.72
1,0.7,0.71,0.73,0.71,0.73,0.73,0.7,0.69,0.7,0.71,0.71,0.75,0.72,0.72,0.69,0.71,0.71,0.68,0.7,0.72
2,0.73,0.71,0.73,0.71,0.73,0.73,0.7,0.74,0.72,0.72,0.71,0.75,0.73,0.74,0.74,0.71,0.72,0.68,0.7,0.72
3,0.73,0.71,0.73,0.74,0.74,0.73,0.73,0.74,0.73,0.72,0.71,0.75,0.75,0.75,0.74,0.72,0.72,0.71,0.7,0.72
4,0.74,0.71,0.73,0.74,0.74,0.73,0.73,0.76,0.73,0.76,0.71,0.75,0.76,0.75,0.74,0.75,0.75,0.71,0.72,0.72
5,0.75,0.74,0.73,0.74,0.74,0.73,0.74,0.76,0.75,0.76,0.73,0.75,0.76,0.75,0.74,0.75,0.75,0.71,0.72,0.74
6,0.75,0.74,0.78,0.74,0.75,0.73,0.74,0.76,0.75,0.76,0.75,0.75,0.77,0.75,0.74,0.75,0.75,0.71,0.72,0.74
7,0.75,0.74,0.78,0.74,0.77,0.74,0.74,0.76,0.75,0.76,0.75,0.78,0.77,0.75,0.74,0.75,0.75,0.71,0.73,0.76
8,0.77,0.78,0.78,0.74,0.77,0.74,0.75,0.77,0.75,0.76,0.76,0.78,0.77,0.75,0.76,0.75,0.75,0.71,0.75,0.76
9,0.77,0.78,0.78,0.74,0.77,0.75,0.75,0.77,0.75,0.78,0.76,0.78,0.78,0.75,0.78,0.75,0.76,0.79,0.75,0.76
10,0.77,0.78,0.78,0.74,0.77,0.78,0.76,0.77,0.79,0.78,0.76,0.78,0.79,0.75,0.79,0.75,0.76,0.79,0.75,0.76
11,0.77,0.78,0.78,0.74,0.8,0.78,0.76,0.77,0.79,0.78,0.76,0.78,0.79,0.75,0.79,0.75,0.76,0.79,0.75,0.76
12,0.77,0.78,0.78,0.74,0.8,0.78,0.76,0.77,0.81,0.78,0.76,0.78,0.79,0.75,0.79,0.75,0.76,0.79,0.76,0.76
13,0.77,0.8,0.78,0.74,0.8,0.78,0.76,0.77,0.81,0.79,0.77,0.78,0.8,0.75,0.79,0.75,0.76,0.79,0.76,0.76
14,0.77,0.8,0.78,0.74,0.8,0.78,0.76,0.77,0.82,0.79,0.77,0.78,0.8,0.79,0.79,0.77,0.76,0.79,0.76,0.76
15,0.77,0.8,0.78,0.74,0.8,0.78,0.76,0.77,0.82,0.79,0.77,0.78,0.8,0.79,0.79,0.77,0.76,0.79,0.76,0.76
16,0.78,0.8,0.78,0.74,0.8,0.78,0.76,0.77,0.82,0.79,0.77,0.78,0.8,0.79,0.8,0.77,0.76,0.79,0.76,0.78
17,0.8,0.8,0.78,0.74,0.8,0.78,0.77,0.77,0.82,0.8,0.77,0.78,0.8,0.79,0.8,0.77,0.79,0.79,0.76,0.78
18,0.8,0.8,0.78,0.75,0.8,0.78,0.77,0.77,0.82,0.8,0.77,0.78,0.8,0.79,0.8,0.77,0.79,0.79,0.76,0.78
19,0.8,0.8,0.78,0.76,0.8,0.78,0.78,0.77,0.82,0.8,0.77,0.78,0.8,0.79,0.8,0.77,0.79,0.79,0.76,0.78
20,0.8,0.8,0.79,0.76,0.8,0.78,0.8,0.77,0.82,0.8,0.77,0.78,0.8,0.79,0.8,0.77,0.79,0.79,0.76,0.78
21,0.8,0.8,0.79,0.78,0.8,0.78,0.8,0.77,0.82,0.8,0.77,0.78,0.8,0.79,0.8,0.77,0.79,0.79,0.76,0.78
22,0.8,0.8,0.79,0.78,0.8,0.78,0.8,0.78,0.82,0.8,0.77,0.78,0.8,0.79,0.8,0.77,0.79,0.79,0.77,0.78
23,0.8,0.8,0.79,0.78,0.8,0.78,0.8,0.78,0.82,0.8,0.77,0.78,0.8,0.79,0.8,0.77,0.79,0.79,0.77,0.78
24,0.8,0.8,0.79,0.78,0.8,0.78,0.8,0.78,0.82,0.8,0.77,0.78,0.8,0.79,0.8,0.77,0.79,0.79,0.77,0.79
25,0.8,0.8,0.79,0.78,0.82,0.78,0.8,0.78,0.82,0.8,0.78,0.78,0.8,0.79,0.8,0.77,0.79,0.79,0.77,0.79
26,0.8,0.8,0.79,0.78,0.82,0.78,0.8,0.78,0.82,0.8,0.78,0.78,0.8,0.79,0.8,0.77,0.79,0.79,0.77,0.79
27,0.8,0.8,0.79,0.78,0.82,0.78,0.8,0.78,0.82,0.8,0.78,0.78,0.8,0.79,0.8,0.77,0.79,0.79,0.77,0.79
28,0.8,0.8,0.79,0.78,0.82,0.81,0.8,0.78,0.82,0.8,0.78,0.78,0.8,0.79,0.8,0.77,0.79,0.79,0.77,0.79
29,0.8,0.8,0.79,0.78,0.82,0.81,0.8,0.78,0.82,0.8,0.78,0.78,0.8,0.79,0.8,0.77,0.79,0.79,0.77,0.79
30,0.8,0.8,0.79,0.78,0.82,0.81,0.8,0.78,0.82,0.8,0.78,0.78,0.8,0.79,0.8,0.77,0.79,0.79,0.78,0.79
31,0.8,0.8,0.79,0.78,0.82,0.81,0.8,0.78,0.82,0.8,0.78,0.78,0.8,0.79,0.8,0.77,0.79,0.79,0.78,0.79
32,0.8,0.8,0.81,0.79,0.82,0.81,0.8,0.78,0.82,0.8,0.79,0.78,0.8,0.79,0.8,0.77,0.79,0.79,0.78,0.79
33,0.8,0.8,0.81,0.79,0.82,0.81,0.8,0.78,0.82,0.8,0.79,0.78,0.8,0.8,0.8,0.77,0.79,0.79,0.78,0.79
34,0.8,0.8,0.81,0.79,0.82,0.81,0.8,0.78,0.82,0.8,0.79,0.78,0.8,0.8,0.8,0.78,0.79,0.79,0.78,0.79
35,0.8,0.8,0.81,0.79,0.82,0.81,0.8,0.78,0.82,0.8,0.79,0.78,0.8,0.82,0.8,0.78,0.79,0.8,0.78,0.79
36,0.8,0.8,0.81,0.79,0.82,0.81,0.8,0.78,0.82,0.8,0.79,0.78,0.8,0.82,0.8,0.82,0.79,0.8,0.78,0.79
37,0.8,0.8,0.81,0.79,0.82,0.81,0.8,0.78,0.82,0.8,0.79,0.78,0.8,0.82,0.8,0.82,0.79,0.8,0.78,0.8
38,0.8,0.8,0.81,0.79,0.82,0.81,0.8,0.78,0.82,0.8,0.79,0.78,0.8,0.82,0.8,0.82,0.79,0.8,0.78,0.8
39,0.8,0.8,0.81,0.79,0.82,0.81,0.8,0.78,0.82,0.82,0.79,0.78,0.8,0.82,0.8,0.82,0.79,0.8,0.78,0.8
40,0.81,0.8,0.81,0.79,0.82,0.81,0.8,0.78,0.82,0.82,0.81,0.78,0.8,0.82,0.8,0.82,0.79,0.8,0.78,0.8
41,0.81,0.8,0.81,0.79,0.82,0.81,0.8,0.78,0.82,0.82,0.81,0.78,0.8,0.82,0.8,0.82,0.79,0.8,0.79,0.8
42,0.81,0.8,0.81,0.79,0.82,0.81,0.8,0.79,0.82,0.82,0.81,0.78,0.8,0.82,0.8,0.82,0.79,0.8,0.79,0.8
43,0.81,0.8,0.81,0.79,0.83,0.81,0.8,0.79,0.82,0.82,0.81,0.78,0.8,0.82,0.8,0.82,0.79,0.8,0.79,0.8
44,0.81,0.8,0.81,0.79,0.83,0.81,0.8,0.79,0.82,0.82,0.81,0.78,0.8,0.82,0.8,0.82,0.79,0.8,0.79,0.8
45,0.81,0.8,0.81,0.79,0.83,0.81,0.8,0.79,0.82,0.82,0.81,0.78,0.8,0.82,0.8,0.82,0.79,0.8,0.79,0.8
46,0.81,0.8,0.81,0.79,0.83,0.81,0.8,0.79,0.82,0.82,0.81,0.78,0.8,0.82,0.8,0.82,0.79,0.8,0.79,0.81
47,0.81,0.8,0.81,0.79,0.83,0.81,0.8,0.79,0.82,0.82,0.81,0.78,0.8,0.82,0.8,0.82,0.79,0.8,0.79,0.81
48,0.81,0.8,0.81,0.79,0.83,0.81,0.8,0.79,0.82,0.82,0.81,0.79,0.8,0.82,0.8,0.82,0.79,0.8,0.8,0.81
49,0.81,0.8,0.81,0.79,0.83,0.81,0.8,0.79,0.82,0.82,0.81,0.79,0.8,0.82,0.8,0.82,0.79,0.8,0.8,0.81
50,0.81,0.8,0.81,0.79,0.83,0.81,0.8,0.79,0.82,0.82,0.81,0.79,0.8,0.82,0.8,0.82,0.79,0.8,0.8,0.81
51,0.81,0.8,0.81,0.79,0.83,0.81,0.8,0.79,0.82,0.82,0.81,0.79,0.8,0.82,0.8,0.82,0.79,0.8,0.8,0.82
52,0.81,0.8,0.81,0.79,0.83,0.81,0.8,0.79,0.82,0.82,0.81,0.79,0.8,0.82,0.8,0.82,0.79,0.8,0.8,0.82
53,0.81,0.8,0.81,0.79,0.83,0.81,0.8,0.79,0.82,0.82,0.81,0.79,0.8,0.82,0.8,0.82,0.79,0.8,0.8,0.82
54,0.81,0.8,0.81,0.79,0.83,0.81,0.8,0.79,0.85,0.82,0.81,0.79,0.8,0.82,0.8,0.82,0.8,0.8,0.8,0.82
55,0.81,0.8,0.81,0.79,0.83,0.81,0.8,0.79,0.85,0.83,0.81,0.79,0.8,0.82,0.8,0.82,0.8,0.8,0.8,0.82
56,0.81,0.8,0.81,0.79,0.83,0.81,0.8,0.79,0.85,0.83,0.81,0.79,0.8,0.82,0.8,0.82,0.8,0.8,0.8,0.82
57,0.81,0.8,0.81,0.79,0.83,0.81,0.8,0.79,0.85,0.83,0.81,0.79,0.8,0.82,0.8,0.82,0.8,0.8,0.8,0.82
58,0.81,0.8,0.81,0.79,0.83,0.81,0.8,0.79,0.85,0.83,0.81,0.79,0.8,0.82,0.8,0.82,0.8,0.8,0.8,0.82
59,0.81,0.8,0.81,0.79,0.83,0.81,0.8,0.79,0.85,0.83,0.81,0.79,0.8,0.82,0.82,0.82,0.8,0.8,0.8,0.82
60,0.81,0.8,0.81,0.79,0.83,0.81,0.8,0.79,0.85,0.83,0.81,0.79,0.8,0.82,0.82,0.82,0.8,0.8,0.82,0.82
61,0.81,0.8,0.81,0.79,0.83,0.81,0.8,0.79,0.85,0.83,0.81,0.79,0.8,0.82,0.82,0.82,0.8,0.8,0.82,0.83
62,0.81,0.8,0.81,0.79,0.83,0.81,0.8,0.79,0.85,0.83,0.81,0.79,0.8,0.82,0.82,0.82,0.8,0.8,0.82,0.83
63,0.81,0.8,0.81,0.79,0.83,0.81,0.8,0.79,0.85,0.83,0.81,0.79,0.8,0.82,0.82,0.82,0.8,0.8,0.82,0.83
64,0.81,0.8,0.81,0.79,0.83,0.81,0.8,0.79,0.85,0.83,0.81,0.79,0.8,0.82,0.82,0.82,0.8,0.8,0.82,0.83
65,0.81,0.8,0.81,0.79,0.83,0.85,0.8,0.79,0.85,0.83,0.81,0.8,0.8,0.82,0.82,0.82,0.8,0.8,0.82,0.83
66,0.81,0.8,0.81,0.79,0.83,0.85,0.8,0.79,0.85,0.83,0.81,0.8,0.81,0.82,0.82,0.82,0.8,0.8,0.82,0.83
67,0.81,0.8,0.81,0.79,0.83,0.85,0.81,0.79,0.85,0.83,0.81,0.8,0.81,0.82,0.82,0.82,0.8,0.8,0.82,0.83
68,0.81,0.8,0.81,0.79,0.83,0.85,0.81,0.79,0.85,0.83,0.81,0.8,0.81,0.82,0.82,0.82,0.8,0.8,0.82,0.83
69,0.81,0.8,0.81,0.79,0.83,0.85,0.81,0.79,0.85,0.83,0.81,0.8,0.81,0.82,0.82,0.82,0.8,0.81,0.82,0.83
70,0.81,0.8,0.81,0.79,0.83,0.85,0.81,0.79,0.85,0.83,0.81,0.8,0.81,0.82,0.82,0.82,0.8,0.81,0.82,0.83
71,0.81,0.8,0.81,0.79,0.83,0.85,0.81,0.79,0.85,0.83,0.81,0.8,0.81,0.82,0.82,0.82,0.8,0.81,0.82,0.83
72,0.81,0.8,0.81,0.79,0.83,0.85,0.81,0.79,0.85,0.83,0.81,0.81,0.81,0.82,0.82,0.82,0.8,0.81,0.82,0.83
73,0.81,0.8,0.81,0.79,0.83,0.85,0.81,0.79,0.85,0.83,0.81,0.81,0.81,0.82,0.82,0.82,0.8,0.81,0.82,0.83
74,0.81,0.8,0.81,0.79,0.83,0.85,0.81,0.79,0.85,0.83,0.81,0.81,0.81,0.82,0.82,0.82,0.8,0.81,0.82,0.83
75,0.81,0.8,0.81,0.79,0.83,0.85,0.81,0.79,0.85,0.83,0.81,0.81,0.81,0.82,0.82,0.82,0.8,0.81,0.82,0.83
