,Iteration_0,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19
0,0.7,0.68,0.74,0.72,0.73,0.71,0.7,0.67,0.71,0.69,0.67,0.69,0.71,0.7,0.71,0.76,0.7,0.75,0.7,0.71
1,0.72,0.69,0.74,0.72,0.75,0.71,0.7,0.72,0.71,0.71,0.7,0.75,0.74,0.71,0.72,0.78,0.7,0.75,0.7,0.73
2,0.75,0.72,0.74,0.72,0.75,0.75,0.71,0.72,0.73,0.71,0.7,0.75,0.74,0.73,0.72,0.78,0.7,0.77,0.75,0.78
3,0.75,0.74,0.74,0.79,0.75,0.77,0.74,0.73,0.75,0.71,0.7,0.75,0.74,0.74,0.73,0.79,0.71,0.77,0.75,0.78
4,0.76,0.75,0.74,0.79,0.76,0.77,0.74,0.74,0.75,0.71,0.7,0.75,0.74,0.74,0.73,0.79,0.71,0.77,0.75,0.78
5,0.76,0.75,0.74,0.79,0.76,0.78,0.75,0.74,0.75,0.73,0.73,0.75,0.74,0.78,0.73,0.8,0.72,0.77,0.77,0.78
6,0.76,0.76,0.77,0.79,0.76,0.78,0.76,0.75,0.78,0.73,0.75,0.75,0.74,0.78,0.73,0.8,0.72,0.77,0.77,0.78
7,0.76,0.76,0.77,0.79,0.76,0.78,0.76,0.75,0.78,0.73,0.75,0.75,0.77,0.78,0.73,0.8,0.73,0.78,0.78,0.78
8,0.79,0.76,0.8,0.79,0.76,0.79,0.77,0.78,0.78,0.73,0.75,0.75,0.77,0.78,0.76,0.8,0.73,0.78,0.81,0.78
9,0.79,0.76,0.8,0.81,0.77,0.79,0.77,0.78,0.78,0.73,0.75,0.76,0.77,0.78,0.8,0.8,0.73,0.78,0.81,0.78
10,0.79,0.76,0.82,0.81,0.79,0.79,0.77,0.78,0.78,0.75,0.75,0.76,0.77,0.78,0.8,0.8,0.73,0.78,0.81,0.78
