,Iteration_0,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19
0,0.69,0.72,0.69,0.67,0.69,0.67,0.67,0.69,0.68,0.72,0.73,0.73,0.69,0.73,0.67,0.69,0.7,0.71,0.69,0.73
1,0.69,0.72,0.69,0.67,0.69,0.69,0.67,0.69,0.68,0.76,0.73,0.73,0.71,0.73,0.67,0.7,0.7,0.71,0.69,0.73
2,0.7,0.72,0.69,0.67,0.7,0.69,0.67,0.72,0.68,0.76,0.73,0.73,0.71,0.73,0.67,0.7,0.7,0.71,0.69,0.73
3,0.7,0.72,0.69,0.67,0.7,0.69,0.67,0.72,0.71,0.76,0.73,0.73,0.71,0.73,0.67,0.7,0.75,0.77,0.72,0.73
4,0.7,0.72,0.69,0.67,0.7,0.69,0.67,0.72,0.71,0.76,0.75,0.73,0.71,0.73,0.67,0.7,0.75,0.78,0.72,0.73
5,0.7,0.72,0.69,0.67,0.72,0.69,0.67,0.72,0.71,0.76,0.75,0.73,0.71,0.73,0.67,0.7,0.75,0.78,0.73,0.73
6,0.7,0.72,0.73,0.67,0.72,0.7,0.67,0.72,0.71,0.76,0.75,0.73,0.71,0.73,0.67,0.74,0.75,0.78,0.73,0.73
7,0.7,0.72,0.73,0.67,0.74,0.7,0.67,0.73,0.71,0.76,0.75,0.73,0.71,0.73,0.67,0.74,0.75,0.78,0.73,0.73
8,0.7,0.72,0.73,0.67,0.74,0.7,0.67,0.73,0.71,0.76,0.77,0.73,0.73,0.73,0.67,0.74,0.75,0.78,0.73,0.73
9,0.7,0.72,0.73,0.67,0.74,0.7,0.67,0.74,0.71,0.76,0.77,0.73,0.73,0.73,0.67,0.74,0.75,0.78,0.73,0.73
10,0.7,0.72,0.73,0.67,0.75,0.7,0.67,0.77,0.71,0.76,0.78,0.73,0.74,0.73,0.67,0.77,0.75,0.78,0.73,0.73
11,0.7,0.72,0.73,0.67,0.75,0.7,0.67,0.77,0.71,0.76,0.78,0.73,0.74,0.73,0.67,0.77,0.75,0.78,0.73,0.73
12,0.7,0.72,0.73,0.67,0.75,0.7,0.67,0.77,0.71,0.76,0.78,0.73,0.74,0.73,0.67,0.77,0.75,0.78,0.73,0.73
13,0.7,0.73,0.73,0.67,0.75,0.71,0.67,0.77,0.71,0.76,0.78,0.73,0.74,0.73,0.67,0.77,0.75,0.78,0.73,0.73
14,0.7,0.73,0.73,0.67,0.75,0.71,0.67,0.77,0.71,0.76,0.78,0.73,0.74,0.73,0.67,0.77,0.75,0.78,0.73,0.73
15,0.7,0.73,0.73,0.67,0.75,0.72,0.67,0.77,0.71,0.76,0.78,0.73,0.74,0.73,0.67,0.77,0.75,0.78,0.73,0.73
16,0.7,0.73,0.73,0.67,0.75,0.72,0.67,0.77,0.71,0.76,0.78,0.73,0.74,0.73,0.67,0.77,0.75,0.78,0.73,0.73
17,0.7,0.73,0.73,0.67,0.75,0.72,0.67,0.77,0.71,0.76,0.78,0.73,0.74,0.73,0.67,0.77,0.75,0.78,0.74,0.73
18,0.7,0.73,0.73,0.67,0.75,0.72,0.67,0.77,0.71,0.76,0.78,0.73,0.74,0.73,0.67,0.78,0.75,0.78,0.74,0.73
19,0.7,0.73,0.73,0.67,0.75,0.74,0.67,0.77,0.71,0.76,0.78,0.73,0.74,0.73,0.67,0.78,0.75,0.78,0.74,0.73
20,0.7,0.73,0.73,0.67,0.75,0.74,0.67,0.77,0.71,0.76,0.78,0.73,0.74,0.73,0.67,0.78,0.75,0.78,0.74,0.73
21,0.7,0.73,0.73,0.67,0.75,0.74,0.67,0.77,0.71,0.76,0.78,0.73,0.74,0.73,0.67,0.78,0.75,0.78,0.74,0.73
22,0.7,0.73,0.73,0.67,0.75,0.74,0.67,0.77,0.71,0.76,0.78,0.73,0.74,0.73,0.67,0.81,0.75,0.78,0.74,0.73
23,0.7,0.73,0.73,0.67,0.75,0.74,0.67,0.77,0.71,0.76,0.79,0.73,0.74,0.73,0.67,0.81,0.75,0.78,0.74,0.73
24,0.7,0.73,0.73,0.67,0.75,0.74,0.67,0.77,0.71,0.76,0.79,0.73,0.74,0.73,0.67,0.81,0.75,0.78,0.74,0.73
25,0.7,0.73,0.73,0.67,0.75,0.74,0.67,0.77,0.71,0.76,0.79,0.73,0.74,0.73,0.67,0.81,0.75,0.78,0.74,0.73
26,0.7,0.73,0.73,0.67,0.75,0.74,0.67,0.77,0.71,0.76,0.79,0.73,0.77,0.73,0.67,0.81,0.75,0.78,0.74,0.74
27,0.7,0.73,0.73,0.67,0.75,0.74,0.67,0.77,0.71,0.76,0.79,0.73,0.77,0.73,0.67,0.81,0.75,0.78,0.74,0.74
28,0.7,0.73,0.73,0.67,0.75,0.74,0.67,0.77,0.71,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.74,0.74
29,0.7,0.73,0.73,0.67,0.75,0.74,0.67,0.77,0.71,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.74,0.74
30,0.7,0.73,0.73,0.67,0.75,0.74,0.67,0.77,0.71,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.74,0.74
31,0.7,0.73,0.73,0.67,0.75,0.74,0.67,0.77,0.71,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.74,0.74
32,0.7,0.73,0.73,0.67,0.75,0.74,0.67,0.77,0.71,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.74,0.74
33,0.73,0.73,0.73,0.67,0.75,0.74,0.67,0.77,0.71,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.74,0.74
34,0.73,0.73,0.73,0.67,0.75,0.75,0.67,0.77,0.71,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.74,0.74
35,0.73,0.73,0.73,0.67,0.75,0.75,0.67,0.77,0.71,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.74,0.74
36,0.74,0.73,0.73,0.67,0.75,0.75,0.67,0.77,0.71,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
37,0.74,0.73,0.73,0.67,0.75,0.75,0.67,0.77,0.71,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
38,0.81,0.73,0.73,0.67,0.75,0.75,0.67,0.77,0.71,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
39,0.81,0.73,0.73,0.67,0.75,0.75,0.67,0.77,0.71,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
40,0.81,0.73,0.73,0.67,0.75,0.75,0.67,0.77,0.72,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
41,0.81,0.73,0.73,0.67,0.75,0.75,0.67,0.77,0.74,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
42,0.81,0.76,0.73,0.67,0.75,0.75,0.67,0.77,0.74,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
43,0.81,0.76,0.73,0.67,0.75,0.75,0.67,0.77,0.74,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
44,0.81,0.76,0.73,0.67,0.75,0.75,0.67,0.77,0.74,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
45,0.81,0.76,0.73,0.67,0.75,0.75,0.68,0.77,0.74,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
46,0.81,0.76,0.73,0.67,0.75,0.77,0.68,0.77,0.74,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
47,0.81,0.76,0.73,0.67,0.75,0.77,0.68,0.77,0.77,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
48,0.81,0.76,0.73,0.67,0.75,0.77,0.68,0.77,0.77,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
49,0.81,0.76,0.73,0.68,0.75,0.77,0.68,0.77,0.77,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
50,0.81,0.76,0.73,0.68,0.75,0.77,0.68,0.77,0.77,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
51,0.81,0.76,0.73,0.68,0.75,0.77,0.68,0.77,0.77,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
52,0.81,0.76,0.73,0.68,0.75,0.77,0.68,0.77,0.78,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
53,0.81,0.76,0.73,0.73,0.75,0.77,0.7,0.77,0.78,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
54,0.81,0.76,0.73,0.73,0.75,0.77,0.7,0.77,0.78,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
55,0.81,0.76,0.73,0.76,0.75,0.77,0.7,0.77,0.81,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
56,0.81,0.76,0.73,0.76,0.75,0.77,0.7,0.77,0.81,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
57,0.81,0.76,0.73,0.76,0.75,0.78,0.7,0.77,0.81,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
58,0.81,0.76,0.73,0.76,0.75,0.78,0.7,0.77,0.81,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
59,0.81,0.76,0.73,0.76,0.75,0.78,0.7,0.77,0.81,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
60,0.81,0.76,0.73,0.76,0.75,0.78,0.7,0.77,0.81,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
61,0.81,0.76,0.73,0.76,0.75,0.78,0.7,0.77,0.81,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
62,0.81,0.76,0.73,0.76,0.75,0.78,0.7,0.77,0.81,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
63,0.81,0.76,0.73,0.76,0.75,0.78,0.7,0.77,0.81,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
64,0.81,0.76,0.73,0.76,0.75,0.78,0.7,0.77,0.81,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
65,0.81,0.76,0.73,0.76,0.76,0.78,0.7,0.77,0.81,0.76,0.79,0.73,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
66,0.81,0.76,0.73,0.76,0.76,0.78,0.7,0.77,0.81,0.76,0.79,0.74,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
67,0.81,0.76,0.73,0.76,0.76,0.78,0.7,0.77,0.81,0.76,0.79,0.75,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
68,0.81,0.76,0.73,0.78,0.76,0.78,0.7,0.77,0.81,0.76,0.79,0.78,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
69,0.81,0.76,0.73,0.78,0.76,0.78,0.7,0.77,0.81,0.76,0.79,0.78,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
70,0.81,0.76,0.73,0.78,0.76,0.78,0.7,0.77,0.81,0.76,0.79,0.78,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
71,0.81,0.76,0.73,0.78,0.76,0.78,0.7,0.77,0.81,0.76,0.79,0.78,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
72,0.81,0.76,0.73,0.78,0.76,0.78,0.7,0.77,0.81,0.76,0.79,0.78,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
73,0.81,0.76,0.73,0.78,0.76,0.78,0.7,0.77,0.81,0.76,0.79,0.78,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
74,0.81,0.76,0.73,0.78,0.76,0.78,0.7,0.77,0.81,0.76,0.79,0.79,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
75,0.81,0.76,0.73,0.78,0.76,0.78,0.7,0.77,0.81,0.76,0.79,0.79,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
76,0.81,0.76,0.73,0.78,0.76,0.78,0.7,0.77,0.81,0.76,0.79,0.79,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
77,0.81,0.76,0.73,0.78,0.76,0.78,0.7,0.77,0.81,0.76,0.79,0.79,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
78,0.81,0.76,0.73,0.78,0.76,0.78,0.7,0.77,0.81,0.76,0.79,0.79,0.77,0.73,0.67,0.82,0.75,0.78,0.77,0.74
79,0.81,0.76,0.73,0.78,0.77,0.78,0.7,0.77,0.81,0.76,0.79,0.79,0.77,0.74,0.67,0.82,0.75,0.78,0.77,0.74
80,0.81,0.76,0.73,0.78,0.77,0.78,0.7,0.77,0.81,0.76,0.79,0.79,0.77,0.74,0.67,0.82,0.75,0.78,0.77,0.74
81,0.81,0.76,0.73,0.78,0.77,0.78,0.7,0.77,0.81,0.76,0.79,0.79,0.77,0.74,0.67,0.82,0.75,0.78,0.77,0.74
82,0.81,0.76,0.73,0.78,0.77,0.78,0.7,0.77,0.81,0.76,0.79,0.79,0.77,0.74,0.67,0.82,0.75,0.78,0.77,0.74
83,0.81,0.76,0.73,0.78,0.77,0.78,0.7,0.77,0.81,0.76,0.79,0.81,0.77,0.75,0.67,0.82,0.75,0.78,0.77,0.74
84,0.81,0.76,0.73,0.78,0.77,0.78,0.7,0.77,0.81,0.76,0.79,0.81,0.77,0.75,0.67,0.82,0.75,0.78,0.77,0.74
85,0.81,0.78,0.73,0.78,0.77,0.78,0.7,0.77,0.81,0.76,0.79,0.81,0.77,0.75,0.67,0.82,0.75,0.78,0.77,0.74
86,0.81,0.78,0.73,0.78,0.77,0.78,0.7,0.77,0.81,0.76,0.79,0.81,0.77,0.75,0.67,0.82,0.75,0.78,0.77,0.74
87,0.81,0.78,0.73,0.78,0.77,0.78,0.7,0.77,0.81,0.76,0.79,0.81,0.77,0.76,0.67,0.82,0.75,0.78,0.77,0.74
88,0.81,0.78,0.73,0.78,0.77,0.78,0.7,0.77,0.81,0.76,0.79,0.81,0.77,0.76,0.67,0.82,0.75,0.78,0.77,0.74
89,0.81,0.78,0.73,0.78,0.77,0.78,0.7,0.77,0.81,0.76,0.79,0.81,0.77,0.76,0.67,0.82,0.75,0.78,0.77,0.74
