,Iteration_0,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19
0,0.67,0.68,0.71,0.71,0.68,0.7,0.72,0.68,0.73,0.7,0.72,0.71,0.68,0.68,0.68,0.7,0.7,0.7,0.73,0.67
1,0.67,0.68,0.71,0.71,0.68,0.75,0.73,0.68,0.73,0.71,0.74,0.71,0.7,0.71,0.68,0.72,0.7,0.74,0.73,0.67
2,0.67,0.68,0.71,0.75,0.7,0.75,0.73,0.75,0.73,0.71,0.74,0.71,0.7,0.71,0.7,0.72,0.71,0.74,0.73,0.67
3,0.67,0.68,0.71,0.75,0.72,0.75,0.74,0.75,0.74,0.78,0.76,0.74,0.74,0.71,0.7,0.74,0.71,0.74,0.73,0.67
4,0.67,0.7,0.71,0.75,0.72,0.75,0.76,0.75,0.74,0.78,0.78,0.75,0.74,0.74,0.7,0.75,0.72,0.74,0.73,0.67
5,0.67,0.7,0.71,0.75,0.73,0.75,0.76,0.75,0.74,0.78,0.78,0.75,0.74,0.74,0.7,0.75,0.73,0.74,0.73,0.67
6,0.67,0.71,0.71,0.75,0.77,0.76,0.76,0.75,0.74,0.78,0.8,0.75,0.74,0.74,0.75,0.75,0.73,0.74,0.73,0.67
7,0.67,0.71,0.73,0.76,0.77,0.76,0.76,0.75,0.74,0.78,0.8,0.75,0.74,0.74,0.75,0.75,0.73,0.74,0.73,0.67
8,0.67,0.73,0.74,0.76,0.77,0.76,0.76,0.76,0.75,0.78,0.8,0.75,0.74,0.74,0.75,0.75,0.73,0.74,0.76,0.67
9,0.67,0.73,0.74,0.76,0.77,0.76,0.76,0.76,0.75,0.78,0.8,0.75,0.74,0.74,0.75,0.75,0.73,0.74,0.76,0.67
