,Iteration_0,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19
0,0.7,0.67,0.7,0.73,0.66,0.69,0.7,0.7,0.72,0.71,0.68,0.67,0.7,0.66,0.74,0.72,0.67,0.71,0.67,0.68
1,0.72,0.73,0.69,0.73,0.71,0.75,0.72,0.74,0.69,0.69,0.69,0.68,0.76,0.67,0.79,0.68,0.7,0.73,0.69,0.66
2,0.71,0.7,0.73,0.76,0.74,0.72,0.7,0.72,0.7,0.72,0.7,0.71,0.76,0.71,0.76,0.72,0.7,0.71,0.7,0.67
3,0.72,0.72,0.72,0.73,0.72,0.72,0.74,0.72,0.76,0.72,0.7,0.68,0.75,0.73,0.76,0.72,0.69,0.73,0.7,0.69
4,0.7,0.71,0.71,0.77,0.71,0.7,0.74,0.75,0.76,0.74,0.73,0.68,0.77,0.75,0.74,0.72,0.72,0.74,0.72,0.71
5,0.75,0.71,0.71,0.74,0.75,0.71,0.72,0.73,0.77,0.74,0.74,0.68,0.72,0.71,0.78,0.78,0.73,0.72,0.72,0.71
6,0.71,0.75,0.71,0.75,0.75,0.74,0.74,0.75,0.73,0.74,0.75,0.7,0.72,0.74,0.78,0.73,0.74,0.77,0.7,0.7
7,0.73,0.71,0.75,0.73,0.75,0.75,0.74,0.73,0.73,0.73,0.75,0.71,0.77,0.74,0.74,0.73,0.78,0.76,0.74,0.71
8,0.72,0.7,0.75,0.74,0.73,0.73,0.75,0.72,0.74,0.74,0.78,0.7,0.72,0.74,0.72,0.72,0.75,0.76,0.74,0.72
9,0.72,0.72,0.74,0.72,0.74,0.76,0.75,0.73,0.75,0.75,0.75,0.71,0.71,0.76,0.78,0.73,0.74,0.76,0.75,0.75
10,0.74,0.73,0.73,0.73,0.75,0.77,0.76,0.73,0.79,0.76,0.75,0.71,0.77,0.77,0.73,0.73,0.73,0.75,0.73,0.72
11,0.76,0.72,0.74,0.73,0.73,0.76,0.77,0.72,0.77,0.78,0.74,0.74,0.79,0.77,0.72,0.74,0.74,0.8,0.72,0.73
12,0.74,0.75,0.73,0.73,0.75,0.81,0.74,0.73,0.74,0.74,0.77,0.73,0.74,0.75,0.74,0.75,0.74,0.77,0.75,0.72
13,0.74,0.74,0.75,0.74,0.77,0.79,0.78,0.72,0.74,0.74,0.73,0.73,0.78,0.73,0.78,0.76,0.75,0.77,0.75,0.74
14,0.75,0.76,0.73,0.74,0.76,0.76,0.77,0.74,0.77,0.73,0.73,0.73,0.76,0.74,0.76,0.76,0.71,0.77,0.73,0.76
15,0.74,0.79,0.79,0.79,0.75,0.76,0.74,0.73,0.75,0.75,0.75,0.73,0.73,0.73,0.75,0.74,0.72,0.76,0.74,0.73
16,0.77,0.78,0.76,0.79,0.74,0.75,0.75,0.74,0.76,0.74,0.76,0.71,0.74,0.72,0.76,0.76,0.76,0.76,0.72,0.75
17,0.77,0.77,0.76,0.79,0.75,0.75,0.72,0.74,0.76,0.76,0.75,0.75,0.77,0.74,0.74,0.74,0.75,0.74,0.75,0.72
18,0.77,0.75,0.76,0.78,0.74,0.76,0.76,0.73,0.75,0.76,0.75,0.75,0.72,0.72,0.77,0.76,0.77,0.74,0.73,0.75
19,0.76,0.79,0.76,0.79,0.74,0.77,0.76,0.73,0.79,0.77,0.76,0.74,0.75,0.74,0.74,0.74,0.74,0.74,0.74,0.75
20,0.73,0.78,0.77,0.77,0.76,0.78,0.76,0.76,0.77,0.75,0.76,0.74,0.76,0.74,0.75,0.77,0.76,0.73,0.73,0.76
21,0.76,0.8,0.74,0.78,0.77,0.81,0.75,0.74,0.76,0.75,0.73,0.75,0.79,0.76,0.78,0.73,0.75,0.73,0.73,0.76
22,0.77,0.78,0.78,0.79,0.77,0.81,0.72,0.75,0.75,0.77,0.75,0.79,0.76,0.75,0.74,0.74,0.76,0.74,0.72,0.75
23,0.72,0.8,0.74,0.76,0.76,0.79,0.77,0.74,0.79,0.76,0.8,0.79,0.75,0.76,0.73,0.76,0.74,0.79,0.73,0.73
24,0.76,0.79,0.78,0.79,0.76,0.76,0.76,0.77,0.79,0.75,0.78,0.76,0.74,0.77,0.76,0.75,0.75,0.76,0.72,0.76
25,0.75,0.78,0.74,0.77,0.76,0.77,0.77,0.74,0.75,0.78,0.77,0.78,0.74,0.76,0.73,0.75,0.79,0.75,0.75,0.79
26,0.74,0.79,0.78,0.78,0.76,0.79,0.76,0.76,0.77,0.76,0.76,0.79,0.76,0.78,0.75,0.73,0.77,0.75,0.72,0.75
27,0.75,0.78,0.78,0.77,0.73,0.79,0.75,0.77,0.77,0.76,0.75,0.82,0.76,0.76,0.75,0.76,0.77,0.75,0.75,0.75
28,0.78,0.79,0.78,0.78,0.75,0.75,0.73,0.73,0.76,0.75,0.77,0.79,0.77,0.76,0.75,0.74,0.77,0.75,0.75,0.74
29,0.76,0.79,0.78,0.75,0.77,0.74,0.75,0.74,0.76,0.74,0.77,0.8,0.76,0.77,0.75,0.74,0.79,0.79,0.74,0.75
30,0.78,0.83,0.79,0.75,0.75,0.77,0.73,0.75,0.79,0.73,0.78,0.76,0.77,0.75,0.75,0.74,0.77,0.77,0.73,0.76
31,0.77,0.83,0.79,0.74,0.76,0.76,0.72,0.76,0.76,0.75,0.8,0.76,0.73,0.77,0.75,0.79,0.72,0.76,0.73,0.79
32,0.75,0.79,0.76,0.75,0.77,0.78,0.76,0.76,0.75,0.76,0.78,0.74,0.73,0.78,0.74,0.77,0.73,0.77,0.77,0.74
33,0.75,0.83,0.74,0.8,0.75,0.75,0.74,0.73,0.76,0.76,0.78,0.77,0.72,0.76,0.74,0.74,0.78,0.74,0.73,0.75
